"id","first_name","last_name","birth_date","joined_date","salary","email","department","phone_number","status"
"E00013","Elena","Vang","1981-12-21","2019-02-19","79785","elena.vang@gmail.com","Finance","9108827949","ACTIVE"
"E00085","Isla","Wong","1988-06-30","2014-03-16","137995","isla.wong@gmail.com","Accounting","9093691163","ACTIVE"
"E00105","Isla","Espinoza","1989-03-13","2021-11-16","86299","isla.espinoza@gmail.com","Accounting","9582340090","RETIRED"
"E00128","Everleigh","Espinoza","1980-01-29","2018-01-22","48340","everleigh.espinoza@gmail.com","Human Resources","9410555716","ACTIVE"
"E00130","Paisley","Kang","1985-06-02","2017-03-10","67686","paisley.kang@gmail.com","Human Resources","9934265888","RETIRED"
"E00154","Wyatt","Chin","1988-12-02","2004-06-07","99354","wyatt.chin@gmail.com","Engineering","9412060451","ACTIVE"
"E00163","Bella","Powell","1988-05-17","2002-03-04","154828","bella.powell@gmail.com","Finance","9687387822","ACTIVE"
"E00170","Hannah","Nelson","1984-12-09","2019-09-07","205314","hannah.nelson@gmail.com","Marketing","9235716517","ACTIVE"
"E00233","Luna","Liu","1982-01-02","2014-02-22","91954","brooklyn.reyes@gmail.com","Sales","9380831667","ACTIVE"
"E00254","Samuel","Morales","1985-05-18","2015-06-27","141899","samuel.morales@gmail.com","Finance","9802457624","RETIRED"
"E00304","Dylan","Choi","1983-06-07","2012-05-11","54775","dylan.choi@gmail.com","IT","9999732894","RETIRED"
"E00306","Mateo","Williams","1981-06-21","2011-01-22","211291","mateo.williams@gmail.com","IT","9077695880","RETIRED"
"E00386","Parker","James","1987-12-29","2005-02-05","189702","parker.james@gmail.com","Engineering","9218249110","RETIRED"
"E00402","Dominic","Guzman","1983-12-06","2004-05-16","66521","dominic.guzman@gmail.com","Finance","9011818297","RETIRED"
"E00415","Leilani","Butler","1990-02-26","2021-09-21","125633","leilani.butler@gmail.com","Marketing","9827418240","ACTIVE"
"E00416","Everleigh","Fernandez","1987-08-29","2016-05-22","180664","everleigh.fernandez@gmail.com","Engineering","9797563249","RETIRED"
"E00417","Athena","Carrillo","1980-11-04","2006-04-06","90304","athena.carrillo@gmail.com","Finance","9746583901","ACTIVE"
"E00430","Eliza","Hernandez","1988-07-10","2019-07-04","84596","eliza.hernandez@gmail.com","IT","9022172405","RETIRED"
"E00431","Skylar","Doan","1988-04-14","1994-08-21","110054","skylar.doan@gmail.com","Human Resources","9709526303","ACTIVE"
"E00436","Everly","Walker","1981-05-21","2009-10-23","120341","everly.walker@gmail.com","Human Resources","9077262862","RETIRED"
"E00440","Jack","Huynh","1984-04-18","2018-09-25","140402","jack.huynh@gmail.com","Marketing","9950063766","RETIRED"
"E00443","Nolan","Bui","1988-07-10","2020-05-26","219693","nolan.bui@gmail.com","IT","9138774684","ACTIVE"
"E00502","Natalia","Salazar","1981-07-11","2019-01-02","92753","natalia.salazar@gmail.com","Accounting","9998532037","ACTIVE"
"E00521","Lily","Carter","1987-05-30","1998-05-18","75819","lily.carter@gmail.com","IT","9119939152","ACTIVE"
"E00527","Mateo","Chu","1981-07-23","2020-04-16","225558","mateo.chu@gmail.com","Engineering","9960102347","ACTIVE"
"E00530","Eli","Jones","1982-08-15","1999-03-14","146742","eli.jones@gmail.com","Human Resources","9119701857","ACTIVE"
"E00535","Nathan","Mendez","1981-07-27","2006-10-31","129708","maria.griffin@gmail.com","IT","9019200979","ACTIVE"
"E00549","Isabella","Xi","1987-02-14","2013-03-13","175837","isabella.xi@gmail.com","Marketing","9923693732","ACTIVE"
"E00568","Ava","Garza","1980-12-11","2018-06-25","120128","nathan.mendez@gmail.com","Accounting","9279903976","ACTIVE"
"E00586","Sadie","Washington","1983-05-22","2019-05-24","92952","sadie.washington@gmail.com","Marketing","9593999728","ACTIVE"
"E00591","Savannah","Ali","1984-03-19","2009-02-11","109851","savannah.ali@gmail.com","Human Resources","9377092850","RETIRED"
"E00595","Everly","Chow","1984-06-14","2018-04-21","59817","everly.chow@gmail.com","Finance","9312956837","RETIRED"
"E00644","Joshua","Gupta","1980-07-03","2017-01-24","119746","joshua.gupta@gmail.com","Sales","9038421345","ACTIVE"
"E00665","David","Chu","1981-03-15","1998-09-03","206624","david.chu@gmail.com","Engineering","9722047020","RETIRED"
"E00671","Leonardo","Dixon","1990-11-13","2019-09-05","207172","leonardo.dixon@gmail.com","Sales","9059644889","ACTIVE"
"E00672","Mila","Pena","1981-12-06","2007-12-21","94790","mason.zhao@gmail.com","Human Resources","9844344488","ACTIVE"
"E00691","Ezekiel","Desai","1990-08-28","2003-01-15","95372","ezekiel.desai@gmail.com","Finance","9528308834","ACTIVE"
"E00699","Ava","Ayala","1982-04-17","2006-08-16","74691","ava.ayala@gmail.com","IT","9388363585","ACTIVE"
"E00716","John","Chow","1985-11-17","2021-03-11","159044","john.chow@gmail.com","Marketing","9680577794","ACTIVE"
"E00752","Nolan","Pena","1981-03-17","2018-06-21","218530","luna.liu@gmail.com","Marketing","9587496867","ACTIVE"
"E00769","Ayla","Ng","1990-01-06","2004-03-20","95061","jose.kang@gmail.com","Sales","9760153899","ACTIVE"
"E00791","Thomas","Padilla","1990-06-24","2003-07-26","53215","thomas.padilla@gmail.com","Marketing","9156285673","RETIRED"
"E00816","Skylar","Watson","1983-01-23","2021-10-08","69453","skylar.watson@gmail.com","IT","9069154437","ACTIVE"
"E00874","Alexander","Choi","1985-11-13","1994-09-18","249686","maria.hong@gmail.com","Marketing","9652430976","ACTIVE"
"E00884","Camila","Silva","1985-09-27","2003-12-01","186503","camila.silva@gmail.com","Marketing","9193795363","ACTIVE"
"E00935","Joseph","Martin","1984-03-31","2016-09-13","116878","joseph.martin@gmail.com","Marketing","9591682128","RETIRED"
"E00941","Sophie","Ali","1990-11-01","2002-03-28","100099","julian.ross@gmail.com","Finance","9786869129","ACTIVE"
"E00957","Genesis","Perry","1989-04-07","2013-07-18","88758","genesis.perry@gmail.com","Sales","9721749143","RETIRED"
"E00972","Amelia","Salazar","1987-11-14","2019-04-23","55854","amelia.salazar@gmail.com","Finance","9822108807","RETIRED"
"E01002","Jaxson","Wright","1980-05-12","2010-12-28","127543","elias.ali@gmail.com","IT","9074241559","ACTIVE"
"E01037","Jeremiah","Chu","1981-09-01","2020-09-12","49404","miles.cho@gmail.com","IT","9663184625","RETIRED"
"E01095","Isla","Lai","1980-09-01","2011-12-06","128984","isla.lai@gmail.com","Finance","9052031614","ACTIVE"
"E01141","Gianna","Williams","1990-09-27","2021-01-28","90855","gianna.williams@gmail.com","Engineering","9609616810","ACTIVE"
"E01194","Samantha","Adams","1980-03-15","2013-04-22","74546","samantha.adams@gmail.com","Engineering","9212279588","ACTIVE"
"E01234","Jack","Cheng","1987-12-30","2014-01-16","69803","jack.cheng@gmail.com","Human Resources","9838391251","RETIRED"
"E01249","Penelope","Guerrero","1982-01-04","2009-08-04","78844","penelope.guerrero@gmail.com","IT","9344347090","RETIRED"
"E01258","Gabriel","Brooks","1982-12-14","2018-12-10","114441","gabriel.brooks@gmail.com","IT","9445498583","RETIRED"
"E01261","Connor","Simmons","1981-05-22","2007-04-05","159571","connor.simmons@gmail.com","Accounting","9007676581","ACTIVE"
"E01361","Emma","Hill","1990-07-20","2016-12-27","70996","leilani.yee@gmail.com","IT","9896537806","ACTIVE"
"E01388","Ivy","Soto","1980-09-09","1997-10-23","96475","ivy.soto@gmail.com","Engineering","9482013762","ACTIVE"
"E01417","Leah","Pena","1983-04-19","1994-01-03","86317","leah.pena@gmail.com","IT","9171158223","ACTIVE"
"E01425","Anthony","Rogers","1983-12-29","2015-06-18","196951","anthony.rogers@gmail.com","Engineering","9894838582","RETIRED"
"E01427","Mia","Cheng","1989-10-16","2015-04-22","247022","mia.cheng@gmail.com","Sales","9665790851","ACTIVE"
"E01490","Jade","Rojas","1982-12-10","2019-01-28","109812","jade.rojas@gmail.com","Finance","9620526009","RETIRED"
"E01499","Elias","Zhang","1980-08-02","2013-07-13","68268","elias.zhang@gmail.com","IT","9410186580","ACTIVE"
"E01501","Hudson","Liu","1983-01-21","2017-11-16","95786","hudson.liu@gmail.com","Engineering","9404608538","ACTIVE"
"E01516","Willow","Mai","1983-02-24","2003-12-17","152214","willow.mai@gmail.com","Human Resources","9594992852","RETIRED"
"E01525","Jose","Ross","1987-04-01","1992-04-08","70505","jose.ross@gmail.com","Engineering","9802888980","RETIRED"
"E01533","Avery","Bailey","1980-12-13","1996-05-15","74552","avery.bailey@gmail.com","Sales","9312197055","ACTIVE"
"E01540","Miles","Salazar","1987-06-03","2010-12-23","86858","miles.salazar@gmail.com","IT","9586703974","RETIRED"
"E01546","Maria","Hong","1984-06-07","2005-07-31","50475","sophie.ali@gmail.com","Finance","9438681616","ACTIVE"
"E01550","Ruby","Barnes","1981-04-01","2020-07-01","41336","ruby.barnes@gmail.com","IT","9102552622","ACTIVE"
"E01584","Eli","Soto","1983-01-12","2016-05-02","125828","carter.mejia@gmail.com","Marketing","9367442150","RETIRED"
"E01628","Jackson","Perry","1985-03-14","2019-10-20","78940","jackson.perry@gmail.com","Marketing","9698242696","ACTIVE"
